code,title,credits,description,prerequisites
AE 7792,Advanced Mechanics of Composites,3,"Anisotropic elasticity, hygrothermal behavior, stress analysis of laminated composites including 3D effects, stress concentrations, free-edge effects, thick laminates, adhesive and mechanical connections, fracture of composites. Crosslisted with CHE, CEE, ME, MSE, and PTFE 7792.","Graduate standing required; CHE, CEE, ME, MSE, and PTFE 7792"
AE 7793,Manufacturing of Composites,3,"Major manufacturing techniques of metal-ceramic and polymer-matrix composites.  Modeling of processes with emphasis on fundamental mechanisms and effects. Crosslisted with CHE, CEE, ME, MSE, and PTFE 7793.","Graduate standing required; CHE, CEE, ME, MSE, and PTFE 7793"
AE 8001,Design Seminar,1,Case studies of existing aerospace systems; assessment of design payoffs and risks; industry experts provide case examples and knowledge transfer to course participants; field trips.,Graduate standing required
AE 8002,AE Graduate Seminar,1,"Introduce AE graduate students to world-class aerospace researchers and topics, discuss and demonstrate basic graduate student resources and skills.",Graduate standing required
AE 8741,Robotics Capstone Project,3,Teams or individuals apply the knowledge and skills acquired throughout the MS program to a faculty supervised robotics project.,Graduate standing required
AE 8750,Robotics Research Foundation I,3,Multidisciplinary research course supervised by two robotics faculty from different schools participating in the robotics Ph.D. program.,Graduate standing required
AE 8751,Robotics Research Foundation II,3,Continuation of AE 8751 (Robotics Research Foundation I).,Graduate standing required
AE 8801,Special Topics,1,Special topics of current interest.,Graduate standing required
AE 8802,Special Topics,2,Special topics of current interest.,Graduate standing required
AE 8803,Special Topics,3,Special topics of current interest.,Graduate standing required
AE 8804,Special Topics,4,Special  topics of current interest.,Graduate standing required
AE 8805,Special Topics,5,Special  topics of current interest.,Graduate standing required
AE 8813,Special Topics,3,Special Topics in AE.,Graduate standing required
AE 8883,Special Topics,3,,
AS 1000,Air Force Leadership-Lab,1,"Air Force customs and courtesies, drill and ceremonies, and introduction to the military environment. Emphasis on developing the leadership and interpersonal skills needed of Air Force officers.",
AS 1110,Heritage and Values of the Air Force I,1,"A survey course designed to introduce students to the Department of the Air Force (DAF) and provides an overview of the basic characteristics, missions, communications and organization of the Air and Space Forces. Topics include: Formation of the Air Force, Military Customs and Courtesies, and Introduction to Leadership. Leadership Laboratory is mandatory for AFROTC cadets and complements this course.",
AS 1120,Heritage and Values of the Air Force II,1,"A survey course designed to introduce students to the Department of the Air Force (DAF) and provides an overview of the basic characteristics, missions, communications and organization of the Air and Space Forces. Topics include: What is War?, Principles of War and Tenets of Airpower, and What the Department of the Air Force Brings to the Fight. Leadership Laboratory is mandatory for AFROTC cadets and complements this course.",
AS 3310,Leading People and Effective Communication I,3,"This course utilizes student’s field training experience to take a more in-depth look at leadership. Special emphasis is placed on enhancing communication skills, and why that is important as a leader. Students have an opportunity to try out these leadership and management techniques in a supervised environment as juniors and seniors. Topics include: Change Management, Leading Diverse Organizations, and Managing Competing Priorities. Leadership Laboratory is mandatory for AFROTC cadets and complements this course.",
AS 3320,Leading People and Effective Communication II,3,"This course utilizes student’s field training experience to take a more in-depth look at leadership. Special emphasis is placed on enhancing communication skills, and why that is important as a leader. Students have an opportunity to try out these leadership and management techniques in a supervised environment as juniors and seniors. Topics include: Mentoring, Ethical Decision Making, and Establishing Expectations. Leadership Laboratory is mandatory for AFROTC cadets and complements this course.",
AS 4410,National Security and Preparation for Active Duty I,3,"This course is designed for college seniors and provides them the foundation to understand their role as military officers and how they are directly tied to our National Security Strategy. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. Topics include: National Security Strategy, The Total Force, and Capabilities and Force Packaging. Leadership Laboratory is mandatory for AFROTC cadets and complements this course.",a measure of sophistication commensurate with the senior college level
AS 4420,National Security and Preparation for Active Duty II,3,"This course is designed for college seniors and provides them the foundation to understand their role as military officers and how they are directly tied to our National Security Strategy. It is an overview of the complex social and political issues facing the military profession and requires a measure of sophistication commensurate with the senior college level. Topics include: Leadership Authority and Responsibility, Military Justice, and Airmen Comprehensive Assessment. Leadership Laboratory is mandatory for AFROTC cadets and complements this course.",a measure of sophistication commensurate with the senior college level
APPH 1040,Scientific Foundations of Health,2,"Students will learn how genetics, the environment and human behavior influence well-being.  Topics include health fitness, immunity, nutrition, stress management and chronic disease prevention. Credit not allowed for both APPH 1040 and APPH 1050 or HPS 1040 or APPH 1060 .",Credit restriction: APPH 1040 and APPH 1050 or HPS 1040 or APPH 1060; APPH 1040 and APPH 1050 or HPS 1040 or APPH 1060
APPH 1050,The Science of Physical Activity and Health,2,"Students will learn the importance of health fitness, good nutrition, stress management and chronic disease prevention.  Activity portion of course will focus on training to improve fitness.  Credit not allowed for both APPH 1050 and HPS 1040 or APPH 1040 or APPH 1060 .",Credit restriction: APPH 1050 and HPS 1040 or APPH 1040 or APPH 1060; APPH 1050 and HPS 1040 or APPH 1040 or APPH 1060
APPH 1060,Flourishing: Strategies for Well-being and Resilience,2,"This course is designed to help students improve their health/well-being and flourish by using conceptual pillars such as coping, resiliency, optimism, mindfulness, and emotional intelligence. Credit not awarded for both APPH 1060 and APPH 1040 or APPH 1050 .",
APPH 3802,Special Topics,2,Topics of current interest in applied physiology.,
APPH 4804,Special Topics,4,Topics of current interest in applied physiology.,
APPH 4831,Special Topics,1,Topics of current interest in applied physiology.,
APPH 6202,Clinical Gait Analysis,3,"Analysis of normal and pathological human locomotion. Study of theory and instrumentation for measurement of temporal and spatial kinematics and kinetics, electromyography, and plantar pressure.",Graduate standing required
APPH 6203,Biomechanics and Kinesiology in Prosthetics and Orthotics,2,"Mechanics of human movement applied to the study of artifical limbs and braces. Emphasis on neuromuscular control, Newtonian mechanics, kinematics and kinetics.",Graduate standing required
